seed,method,execution,candidate_id,scenario_index,daily_loss_mwh_learned,risk_learned,pf_fail_learned,daily_loss_mwh_opf,risk_opf,pf_fail_opf,loss_gap_mwh,relative_loss_gap_percent
43,wg,raw,267,14,2.1791076944033563,0,0,1.6090531932622618,0,0,0.5700545011410945,35.427946293393944
43,wg,raw,267,15,2.694794466216617,0,0,1.8605244142429296,0,0,0.8342700519736872,44.84058610502899
43,wg,raw,267,16,1.817496617997049,0,0,1.411265688451773,0,0,0.4062309295452762,28.78486544875411
43,wg,projected,100,0,1.0500578561907308,0,0,0.8705694474776073,0,0,0.17948840871312344,20.6173567465725
43,wg,projected,100,1,5.437536607683763,1,0,2.400361367990582,0,0,3.0371752396931804,126.52991671148645
43,wg,projected,100,2,1.9356934032244928,0,0,1.479811628403618,0,0,0.4558817748208748,30.806743647005128
43,wg,projected,100,3,5.033831218608403,1,0,2.1304934721188347,0,0,2.903337746489568,136.2753645803063
43,wg,projected,100,4,2.178873346167447,0,0,1.555612412679469,0,0,0.623260933487978,40.065309868185
43,wg,projected,100,5,0.9899048007341216,0,0,0.8279395075780194,0,0,0.1619652931561022,19.562454946726852
43,wg,projected,100,6,1.6987073208781784,0,0,1.3534292756835282,0,0,0.3452780451946502,25.511347463669498
43,wg,projected,100,7,0.959282338905317,0,0,0.8032922580485785,0,0,0.1559900808567385,19.418845294946824
43,wg,projected,100,8,1.473048664444666,0,0,1.23610179258524,0,0,0.2369468718594261,19.16888020717651
43,wg,projected,100,9,1.001081065379805,0,0,0.8531104317613608,0,0,0.1479706336184442,17.344839320853104
43,wg,projected,100,10,0.98066486007347,0,0,0.8304233125305677,0,0,0.1502415475429023,18.092163993453877
43,wg,projected,100,11,1.5382591141082185,0,0,1.269062288020365,0,0,0.26919682608785345,21.212262678436282
43,wg,projected,100,12,2.050955707355316,0,0,1.5061100476003682,0,0,0.544845659754948,36.1756872031384
43,wg,projected,100,13,2.5935428634138944,0,0,1.7221864724778555,0,0,0.8713563909360389,50.5959374818654
43,wg,projected,100,14,2.4480966371895616,0,0,1.654075171359246,0,0,0.7940214658303155,48.003952878261494
