scorest,violation_sum_st,grid_loss_sum_st,pf_fail_sum_st,stage
-3.9324925043020054,0.0,-3.9324925043020054,0.0,1
-3.9402394421965794,0.0,-3.9402394421965794,0.0,1
-3.9596586280440094,0.0,-3.9596586280440094,0.0,1
-3.932902216014523,0.0,-3.932902216014523,0.0,1
-3.9142238871318216,0.0,-3.9142238871318216,0.0,1
-3.925882751367632,0.0,-3.925882751367632,0.0,1
-3.8094546415293955,0.0,-3.8094546415293955,0.0,2
-4.386108160437699,0.0,-4.386108160437699,0.0,2
-4.218468354548794,0.0,-4.218468354548794,0.0,2
-3.9704795320132904,0.0,-3.9704795320132904,0.0,2
-3.9761697116566608,0.0,-3.9761697116566608,0.0,2
-4.403970290174387,0.0,-4.403970290174387,0.0,2
-4.305153196070645,0.0,-4.305153196070645,0.0,2
-4.428321037291307,0.0,-4.428321037291307,0.0,2
-3.9571719231685676,0.0,-3.9571719231685676,0.0,2
-4.201066806764668,0.0,-4.201066806764668,0.0,2
-4.13183215812999,0.0,-4.13183215812999,0.0,2
-3.812852690868925,0.0,-3.812852690868925,0.0,2
-3.958995485020633,0.0,-3.958995485020633,0.0,2
-4.443363794967896,0.0,-4.443363794967896,0.0,2
-4.297879788445615,0.0,-4.297879788445615,0.0,2
-4.1730269843786285,0.0,-4.1730269843786285,0.0,2
-4.013644274473969,0.0,-4.013644274473969,0.0,2
-3.8608552484780154,0.0,-3.8608552484780154,0.0,2
-3.9166982728213995,0.0,-3.9166982728213995,0.0,2
-4.204203574772678,0.0,-4.204203574772678,0.0,2
-4.060347419106966,0.0,-4.060347419106966,0.0,2
-4.131804629598168,0.0,-4.131804629598168,0.0,2
-3.884786728588033,0.0,-3.884786728588033,0.0,2
-3.8349338467012353,0.0,-3.8349338467012353,0.0,2
-4.2308479071772505,0.0,-4.2308479071772505,0.0,2
-3.977511137551687,0.0,-3.977511137551687,0.0,2
-4.383711985546447,0.0,-4.383711985546447,0.0,2
-4.074862775999482,0.0,-4.074862775999482,0.0,2
-4.056082380131043,0.0,-4.056082380131043,0.0,2
-4.070363820683428,0.0,-4.070363820683428,0.0,2
-4.150840193240174,0.0,-4.150840193240174,0.0,2
-4.037379782245765,0.0,-4.037379782245765,0.0,2
-4.024571337035689,0.0,-4.024571337035689,0.0,2
-4.057105018200544,0.0,-4.057105018200544,0.0,2
-4.130976656285434,0.0,-4.130976656285434,0.0,2
-4.087072928791114,0.0,-4.087072928791114,0.0,2
-3.8058449044411455,0.0,-3.8058449044411455,0.0,2
-3.87186269091742,0.0,-3.87186269091742,0.0,2
-3.7549949550716097,0.0,-3.7549949550716097,0.0,2
-4.013030984435672,0.0,-4.013030984435672,0.0,2
-3.979252563521906,0.0,-3.979252563521906,0.0,2
-3.7694849310297553,0.0,-3.7694849310297553,0.0,2
-3.9402723279976977,0.0,-3.9402723279976977,0.0,2
-3.961018993202665,0.0,-3.961018993202665,0.0,2
-4.343142481561976,0.0,-4.343142481561976,0.0,2
-3.8949704651119994,0.0,-3.8949704651119994,0.0,2
-3.8803509195033286,0.0,-3.8803509195033286,0.0,2
-4.109740773736371,0.0,-4.109740773736371,0.0,2
-4.157412361170963,0.0,-4.157412361170963,0.0,2
-4.207170361997708,0.0,-4.207170361997708,0.0,2
-4.460723318201625,0.0,-4.460723318201625,0.0,2
-4.0374457378953315,0.0,-4.0374457378953315,0.0,2
