candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,pv_nameplate_mva,svc_nameplate_mvar
409,1.5,0.0,1.0,20.12461179749811,0.0
410,1.5,0.1875,0.0,20.12461179749811,0.375
411,1.5,0.1875,0.25,20.12461179749811,0.375
412,1.5,0.1875,0.5,20.12461179749811,0.375
413,1.5,0.1875,0.75,20.12461179749811,0.375
414,1.5,0.1875,1.0,20.12461179749811,0.375
415,1.5,0.375,0.0,20.12461179749811,0.75
416,1.5,0.375,0.25,20.12461179749811,0.75
417,1.5,0.375,0.5,20.12461179749811,0.75
418,1.5,0.375,0.75,20.12461179749811,0.75
419,1.5,0.375,1.0,20.12461179749811,0.75
420,1.5,0.5625,0.0,20.12461179749811,1.125
421,1.5,0.5625,0.25,20.12461179749811,1.125
422,1.5,0.5625,0.5,20.12461179749811,1.125
423,1.5,0.5625,0.75,20.12461179749811,1.125
424,1.5,0.5625,1.0,20.12461179749811,1.125
425,1.5,0.75,0.0,20.12461179749811,1.5
426,1.5,0.75,0.25,20.12461179749811,1.5
427,1.5,0.75,0.5,20.12461179749811,1.5
428,1.5,0.75,0.75,20.12461179749811,1.5
429,1.5,0.75,1.0,20.12461179749811,1.5
430,1.5,0.9375,0.0,20.12461179749811,1.875
431,1.5,0.9375,0.25,20.12461179749811,1.875
432,1.5,0.9375,0.5,20.12461179749811,1.875
433,1.5,0.9375,0.75,20.12461179749811,1.875
434,1.5,0.9375,1.0,20.12461179749811,1.875
435,1.5,1.125,0.0,20.12461179749811,2.25
436,1.5,1.125,0.25,20.12461179749811,2.25
437,1.5,1.125,0.5,20.12461179749811,2.25
438,1.5,1.125,0.75,20.12461179749811,2.25
439,1.5,1.125,1.0,20.12461179749811,2.25
440,1.5,1.3125,0.0,20.12461179749811,2.625
441,1.5,1.3125,0.25,20.12461179749811,2.625
442,1.5,1.3125,0.5,20.12461179749811,2.625
443,1.5,1.3125,0.75,20.12461179749811,2.625
444,1.5,1.3125,1.0,20.12461179749811,2.625
445,1.5,1.5,0.0,20.12461179749811,3.0
446,1.5,1.5,0.25,20.12461179749811,3.0
447,1.5,1.5,0.5,20.12461179749811,3.0
448,1.5,1.5,0.75,20.12461179749811,3.0
449,1.5,1.5,1.0,20.12461179749811,3.0
